Mon,SpT,Tspot,Teff,Feq(%),Flag,Class,umed,rmed,uamp,ramp,urms,rrms,slope,e_slope,_RA,_DE
510,M0,5137.41818611987,3917.4181861198704,7.2,*,c,17.57,15.25,0.768,0.281,0.22,0.1,0.6,0.012,100.26786,9.4145
550,M0,5097.41818611987,3917.4181861198704,6.0,*,w,19.93,15.88,0.29,0.096,0.09,0.03,0.3,0.02,100.18094,9.47806
636,M0,4397.41818611987,3917.4181861198704,59.0,*,c,21.14,16.7,1.571,0.823,0.42,0.24,0.64,0.03,100.20351,9.7238
688,M0,2997.4181861198704,3917.4181861198704,11.0,*,w,19.91,15.57,0.094,0.068,0.03,0.019,1.2,0.5,100.27124,9.81333
736,M0,6297.41818611987,3917.4181861198704,4.4,*,c,21.74,18.47,1.421,0.415,0.39,0.12,0.36,0.03,100.27874,9.49002
754,M0,4097.41818611987,3917.4181861198704,36.0,*,c,20.38,16.29,0.412,0.21,0.12,0.08,1.08,0.15,100.22093,9.8832
770,M0,3197.4181861198704,3917.4181861198704,22.0,*,w,20.69,16.46,0.227,0.158,0.05,0.05,1.6,0.6,100.31033,9.62065
777,M0,3497.4181861198704,3917.4181861198704,16.0,*,w,21.27,17.03,0.197,0.116,0.05,0.03,1.2,0.6,100.26329,9.43417
928,M0,4497.41818611987,3917.4181861198704,11.0,*,c,19.18,15.67,0.3,0.124,0.09,0.03,0.41,0.02,100.35676,9.57862
1002,M0,3397.4181861198704,3917.4181861198704,12.0,*,w,18.6,14.27,0.126,0.093,0.03,0.02,1.31,0.16,100.1094,9.63374
1012,M0,4197.41818611987,3917.4181861198704,15.0,*,w,20.14,16.06,0.156,0.078,0.04,0.02,0.64,0.12,100.13884,9.98139
1015,M0,3897.4181861198704,3917.4181861198704,12.0,*,w,19.18,15.23,0.094,0.052,0.02,0.013,0.9,0.2,99.91381,9.93322
1061,M0,5117.41818611987,3917.4181861198704,8.4,*,c,18.79,16.34,0.83,0.384,0.28,0.1,0.556,0.012,100.10066,9.57013
1158,M0,3897.4181861198704,3917.4181861198704,18.0,*,w,18.68,15.02,0.113,0.056,0.02,0.017,0.99,0.17,99.85939,9.68632
1189,M0,3397.4181861198704,3917.4181861198704,25.0,*,w,20.01,15.85,0.287,0.201,0.08,0.06,1.6,0.2,100.16258,9.6
1218,M0,4097.41818611987,3917.4181861198704,22.0,*,w,19.69,15.49,0.183,0.096,0.05,0.03,1.2,0.2,100.1191,9.59657
1236,M0,1897.4181861198704,3917.4181861198704,5.7,*,w,19.32,15.01,0.082,0.072,0.02,0.019,1.2,0.3,100.09257,9.908
1308,M0,3397.4181861198704,3917.4181861198704,65.0,*,c,19.09,15.64,1.329,0.8,0.38,0.2,1.079,0.017,99.99685,9.4568
1573,M0,6197.41818611987,3917.4181861198704,1.0,*,c,18.27,15.2,0.49,0.105,0.15,0.03,0.262,0.011,100.05242,10.09461
6930,M0,4647.41818611987,3917.4181861198704,35.0,*,c,19.5,15.96,1.161,0.578,0.3,0.15,0.694,0.013,99.76703,9.27055
349,K7:M0,2902.780795054978,3962.780795054978,46.5,*,c,19.98,16.04,1.061,0.869,0.35,0.26,0.97,0.02,100.20475,9.62677
1172,K7:M0,3202.780795054978,3962.780795054978,14.0,*,w,18.54,14.73,0.116,0.081,0.03,0.02,1.8,0.3,100.02659,9.65933
1227,K7:M0,2702.780795054978,3962.780795054978,23.0,*,w,20.72,16.47,0.353,0.297,0.11,0.11,1.6,0.3,100.02488,9.59254
7,K7,7899.447480046071,3999.447480046071,0.88,*,c,17.22,14.49,1.104,0.207,0.34,0.05,0.174,0.004,100.47109,9.96755
11,K7,5049.447480046071,3999.447480046071,15.6,*,c,16.8,15.09,1.008,0.429,0.34,0.14,0.642,0.008,100.32187,9.909
20,K7,3399.447480046071,3999.447480046071,16.0,*,w,20.02,15.94,0.153,0.109,0.04,0.03,1.2,0.3,100.53849,9.73427
29,K7,3209.447480046071,3999.447480046071,19.0,*,w,19.31,15.39,0.302,0.236,0.1,0.08,2.9,0.4,100.26367,9.96528
135,K7,3999.447480046071,3999.447480046071,21.0,*,w,19.36,15.4,0.145,0.082,0.04,0.02,1.1,0.2,100.24999,9.48057
145,K7,3299.447480046071,3999.447480046071,11.0,*,w,20.39,16.07,0.105,0.067,0.03,0.018,0.9,0.5,100.34775,9.76628
286,K7,4799.447480046071,3999.447480046071,40.0,*,c,21.01,18.31,1.439,0.719,0.42,0.19,0.72,0.04,100.24861,9.81797
346,K7,6499.447480046071,3999.447480046071,9.7,*,c,18.65,15.49,2.192,0.815,0.6,0.22,0.6,0.005,100.28789,9.50255
407,K7,3499.447480046071,3999.447480046071,13.0,*,w,19.7,15.67,0.109,0.073,0.03,0.019,1.1,0.4,100.3418,9.85352
486,K7,4299.447480046071,3999.447480046071,9.0,*,w,18.61,14.63,0.072,0.037,0.018,0.01,0.9,0.3,100.26682,9.81911
502,K7,3799.447480046071,3999.447480046071,10.0,*,w,20.57,16.03,0.117,0.062,0.03,0.019,0.7,0.4,100.24071,9.514
515,K7,3799.447480046071,3999.447480046071,26.0,*,w,22.19,15.94,0.229,0.138,0.06,0.05,0.7,0.3,100.40098,9.65568
545,K7,4599.447480046071,3999.447480046071,8.0,*,w,19.31,15.2,0.17,0.072,0.04,0.02,0.51,0.06,100.27422,9.87996
574,K7,3459.447480046071,3999.447480046071,29.0,*,w,18.9,15.09,0.404,0.278,0.11,0.08,2.16,0.16,100.21193,9.93141
805,K7,3499.447480046071,3999.447480046071,6.0,*,w,18.73,15.09,0.051,0.032,0.014,0.009,1.0,0.4,100.43725,9.74454
886,K7,2969.447480046071,3999.447480046071,30.2,*,w,19.78,15.57,0.56,0.47,0.19,0.16,4.1,0.7,100.18767,9.76161
901,K7,4799.447480046071,3999.447480046071,4.1,*,w,18.14,14.48,0.221,0.091,0.06,0.03,0.59,0.03,100.18062,9.84986
904,K7,4199.447480046071,3999.447480046071,67.0,*,c,20.51,16.35,1.279,0.716,0.31,0.2,1.21,0.05,100.17822,9.55975
937,K7,5499.447480046071,3999.447480046071,4.1,*,c,19.8,15.59,0.678,0.213,0.14,0.06,0.439,0.019,100.21896,9.86834
1023,K7,3999.447480046071,3999.447480046071,24.0,*,w,18.17,14.52,0.139,0.081,0.04,0.02,1.27,0.16,100.04292,9.64865
1029,K7,3699.447480046071,3999.447480046071,30.0,*,w,19.87,15.92,0.269,0.171,0.08,0.06,1.4,0.2,99.99938,9.56157
1039,K7,4199.447480046071,3999.447480046071,9.0,*,w,19.7,15.79,0.102,0.048,0.03,0.013,0.7,0.3,100.15609,9.92257
1171,K7,3999.447480046071,3999.447480046071,34.0,*,w,19.22,15.46,0.29,0.162,0.07,0.06,0.55,0.03,99.89161,9.82245
1290,K7,3099.447480046071,3999.447480046071,8.0,*,w,18.51,14.93,0.091,0.069,0.03,0.02,1.6,0.4,99.87659,9.56039
1296,K7,4889.447480046071,3999.447480046071,11.6,*,c,18.93,15.4,0.67,0.279,0.19,0.07,0.4,0.009,99.7656,9.67315
1579,K7,3499.447480046071,3999.447480046071,16.0,*,w,18.68,14.68,0.16,0.109,0.04,0.04,2.3,0.4,100.14632,10.07271
7018,K7,3199.447480046071,3999.447480046071,35.0,*,c,21.55,18.28,0.498,0.363,0.15,0.12,0.78,0.11,99.97253,10.10931
469,K7:,3299.447480046071,3999.447480046071,60.0,*,c,17.24,15.79,1.454,0.852,0.38,0.24,1.372,0.016,100.17139,9.56608
104,K6,3797.5889365897037,4197.588936589704,27.0,*,w,18.22,14.61,0.281,0.174,0.09,0.05,1.35,0.08,100.2674,9.86722
113,K6,3207.5889365897037,4197.588936589704,37.1,*,c,19.16,17.47,0.741,0.56,0.21,0.17,2.08,0.16,100.25117,9.47614
119,K6,6897.588936589704,4197.588936589704,2.5,*,c,18.0,14.56,0.984,0.239,0.3,0.07,0.286,0.005,100.33754,9.56005
122,K6,3897.5889365897037,4197.588936589704,21.0,*,w,19.14,15.29,0.154,0.093,0.05,0.03,1.3,0.2,100.44631,9.63464
223,K6,3457.5889365897037,4197.588936589704,21.0,*,w,18.86,15.02,0.324,0.221,0.09,0.06,1.02,0.05,100.23094,9.62326
413,K6,4497.588936589704,4197.588936589704,21.0,*,w,19.25,15.43,0.209,0.104,0.06,0.04,0.82,0.08,100.44351,9.71856
445,K6,4797.588936589704,4197.588936589704,4.0,*,w,19.02,15.25,0.056,0.023,0.012,0.006,0.7,0.4,100.51067,9.61458
450,K6,3597.5889365897037,4197.588936589704,11.0,*,w,19.19,15.13,0.077,0.049,0.02,0.017,1.4,0.5,100.49183,9.71838
559,K6,3397.5889365897037,4197.588936589704,11.0,*,w,18.77,14.98,0.128,0.093,0.04,0.03,2.2,0.6,100.35106,9.53171
578,K6,3717.5889365897037,4197.588936589704,23.0,*,c,18.37,14.81,0.27,0.182,0.09,0.07,1.86,0.16,100.45846,9.4923
695,K6,4397.588936589704,4197.588936589704,16.0,*,w,17.83,14.4,0.114,0.057,0.04,0.019,0.81,0.09,100.38539,9.63538
755,K6,3797.5889365897037,4197.588936589704,33.0,*,w,20.18,16.06,0.35,0.211,0.1,0.07,1.14,0.12,100.19564,9.81335
932,K6,3537.5889365897037,4197.588936589704,16.0,*,w,18.27,14.45,0.22,0.143,0.08,0.05,1.25,0.08,100.18688,9.96229
964,K6,5497.588936589704,4197.588936589704,4.0,*,c,18.92,15.4,0.281,0.101,0.07,0.03,0.67,0.05,100.27965,9.21064
1100,K6,5097.588936589704,4197.588936589704,12.0,*,c,20.32,16.56,0.566,0.234,0.17,0.08,0.43,0.02,100.1639,9.57933
1115,K6,4097.588936589704,4197.588936589704,16.0,*,w,19.74,16.12,0.136,0.075,0.03,0.016,1.2,0.4,100.00896,9.75398
1133,K6,4397.588936589704,4197.588936589704,24.0,*,w,18.85,15.18,0.205,0.102,0.06,0.03,0.73,0.06,99.99823,9.94009
1157,K6,4797.588936589704,4197.588936589704,13.0,*,c,19.22,15.46,0.142,0.061,0.04,0.017,0.67,0.12,100.08369,9.4746
1203,K6,3207.5889365897037,4197.588936589704,20.2,*,c,18.19,15.03,0.34,0.266,0.1,0.07,0.626,0.014,99.91414,9.75596
1279,K6,3697.5889365897037,4197.588936589704,15.0,*,w,18.49,14.74,0.166,0.113,0.06,0.04,1.9,0.2,100.13017,9.51863
17,K5,4000.415015446425,4395.415015446425,25.0,*,c,18.41,14.94,0.216,0.13,0.06,0.04,1.52,0.15,100.3833,10.0068
33,K5,4040.415015446425,4395.415015446425,39.0,*,w,18.59,14.9,0.39,0.224,0.13,0.07,0.79,0.03,100.28026,9.97533
56,K5,3600.415015446425,4395.415015446425,11.0,*,c,18.74,14.98,0.131,0.095,0.04,0.03,1.1,0.14,100.47149,9.8465
198,K5,3660.415015446425,4395.415015446425,20.7,*,w,17.77,14.05,0.312,0.207,0.09,0.07,1.51,0.07,100.3318,9.529
226,K5,4200.415015446425,4395.415015446425,21.0,*,w,18.23,14.8,0.142,0.079,0.04,0.018,0.69,0.05,100.27234,9.55375
263,K5,4000.415015446425,4395.415015446425,16.0,*,w,18.48,14.88,0.108,0.075,0.03,0.017,1.7,0.5,100.26077,9.58697
351,K5,4400.415015446425,4395.415015446425,13.0,*,w,18.77,15.41,0.101,0.049,0.03,0.013,0.9,0.2,100.34503,9.49415
357,K5,8600.415015446426,4395.415015446425,0.31,*,c,18.7,14.84,0.342,0.053,0.09,0.016,0.149,0.012,100.27396,9.51703
370,K5,4800.415015446425,4395.415015446425,21.0,*,c,17.26,14.35,0.31,0.138,0.08,0.05,0.64,0.02,100.23666,9.6303
425,K5,3940.415015446425,4395.415015446425,31.0,*,c,18.31,14.39,0.378,0.228,0.1,0.06,1.28,0.06,100.31952,9.49786
477,K5,3740.415015446425,4395.415015446425,23.8,*,w,16.99,13.5,0.346,0.229,0.08,0.06,1.87,0.07,100.31564,9.43801
604,K5,3620.415015446425,4395.415015446425,34.0,*,w,18.2,14.63,0.596,0.401,0.18,0.13,1.75,0.06,100.27124,9.86237
606,K5,2100.415015446425,4395.415015446425,11.4,*,w,18.73,14.89,0.192,0.175,0.05,0.04,2.5,0.3,100.31027,9.55596
621,K5,5130.415015446425,4395.415015446425,11.0,*,w,18.71,15.02,0.363,0.152,0.1,0.04,0.62,0.03,100.30343,9.87873
622,K5,3600.415015446425,4395.415015446425,12.0,*,w,19.62,14.89,0.113,0.076,0.03,0.02,1.1,0.2,100.34081,9.7586
627,K5,3200.415015446425,4395.415015446425,45.0,*,c,20.76,17.9,1.035,0.747,0.33,0.23,1.27,0.08,100.24812,9.65176
676,K5,3750.415015446425,4395.415015446425,45.0,*,c,18.07,14.25,0.786,0.48,0.2,13.0,1.32,0.03,100.44917,9.56935
680,K5,3350.415015446425,4395.415015446425,26.0,*,w,20.04,15.85,0.472,0.345,0.11,0.09,2.7,0.4,100.30556,9.46873
719,K5,3900.415015446425,4395.415015446425,9.0,*,w,17.77,14.25,0.061,0.039,0.019,0.011,1.1,0.2,100.26849,9.85725
784,K5,3600.415015446425,4395.415015446425,10.0,*,w,17.5,14.11,0.134,0.096,0.04,0.03,1.73,0.18,100.2559,9.56895
810,K5,3780.415015446425,4395.415015446425,18.0,*,c,17.81,14.01,0.231,0.155,0.07,0.05,0.85,0.03,100.29096,9.4534
873,K5,3100.415015446425,4395.415015446425,12.9,*,c,17.57,13.87,0.216,0.166,0.05,0.04,2.23,0.16,100.30503,9.43621
881,K5,3900.415015446425,4395.415015446425,12.0,*,w,18.19,14.78,0.104,0.067,0.03,0.02,1.4,0.2,100.28717,9.68744
936,K5,7200.415015446425,4395.415015446425,2.8,*,c,18.1,15.2,0.97,0.254,0.3,0.08,0.352,0.007,100.27983,9.45817
967,K5,3700.415015446425,4395.415015446425,11.0,*,w,18.77,14.95,0.13,0.091,0.04,0.03,1.7,0.3,100.30676,9.2315
1102,K5,4200.415015446425,4395.415015446425,6.0,*,w,18.23,13.94,0.047,0.025,0.013,0.007,0.9,0.4,100.05041,9.82509
1135,K5,6600.415015446425,4395.415015446425,28.0,*,c,22.57,18.63,2.318,1.008,0.58,0.3,0.74,0.08,100.07768,10.00692
1144,K5,5500.415015446425,4395.415015446425,49.0,*,c,18.28,15.8,2.008,1.026,0.55,0.35,1.028,0.009,100.09619,9.46178
1204,K5,2400.415015446425,4395.415015446425,6.7,*,w,18.61,14.96,0.103,0.089,0.03,0.02,0.69,0.06,99.95665,9.55616
1250,K5,3300.415015446425,4395.415015446425,10.0,*,w,20.12,16.46,0.106,0.072,0.03,0.02,1.1,0.4,100.08609,9.57622
1583,K5,5000.415015446425,4395.415015446425,55.0,*,c,19.01,16.19,1.441,0.746,0.34,0.2,0.846,0.012,100.45344,10.11747
6491,K5,4900.415015446425,4395.415015446425,58.0,*,c,19.99,16.79,1.502,0.778,0.52,0.19,0.605,0.01,99.85625,9.5276
50,K4,3801.4190079911077,4581.419007991108,14.0,*,w,18.6,15.0,0.192,0.131,0.07,0.05,0.77,0.04,100.25644,10.01014
75,K4,5801.419007991108,4581.419007991108,3.2,*,w,16.8,13.78,0.218,0.076,0.05,0.018,0.41,0.03,100.2983,10.03989
185,K4,8001.419007991108,4581.419007991108,0.76,*,c,17.03,14.53,0.406,0.083,0.1,0.02,0.248,0.012,100.41153,9.53663
200,K4,3201.4190079911077,4581.419007991108,8.0,*,w,18.82,15.14,0.111,0.09,0.03,0.02,1.6,0.3,100.2834,9.51121
280,K4,8201.419007991108,4581.419007991108,1.4,*,c,19.74,15.87,0.747,0.163,0.19,0.04,0.208,0.009,100.17087,9.46511
335,K4,3701.4190079911077,4581.419007991108,11.0,*,c,18.19,14.81,0.14,0.099,0.04,0.04,1.38,0.15,100.40539,9.75184
372,K4,4401.419007991108,4581.419007991108,29.0,*,w,19.61,14.41,0.174,0.096,0.06,0.03,1.2,0.19,100.3356,9.75988
389,K4,4201.419007991108,4581.419007991108,6.0,*,w,19.48,15.48,0.063,0.034,0.018,0.01,0.7,0.2,100.20315,9.54514
427,K4,4001.4190079911077,4581.419007991108,18.0,*,w,18.25,14.89,0.2,0.125,0.06,0.04,1.45,0.13,100.17683,9.53907
456,K4,4401.419007991108,4581.419007991108,46.0,*,c,17.21,14.05,0.325,0.166,0.11,0.05,0.575,0.014,100.21476,9.7234
524,K4,3701.4190079911077,4581.419007991108,10.0,*,w,17.6,14.26,0.131,0.078,0.03,0.02,1.19,0.13,100.26806,9.80614
558,K4,6561.419007991108,4581.419007991108,2.0,*,c,16.07,13.41,0.352,0.099,0.09,0.02,0.294,0.01,100.4156,9.67443
660,K4,5901.419007991108,4581.419007991108,49.0,*,c,18.44,14.62,2.172,1.346,0.59,0.35,1.637,0.016,100.25213,9.48777
722,K4,3901.4190079911077,4581.419007991108,17.0,*,w,19.23,15.38,0.185,0.122,0.06,0.04,1.9,0.4,100.26559,9.46106
771,K4,6101.419007991108,4581.419007991108,4.7,*,c,17.69,14.4,0.487,0.163,0.15,0.04,0.362,0.009,100.32615,9.56489
808,K4,11401.419007991108,4581.419007991108,0.55,*,c,18.68,15.33,1.265,0.26,0.39,0.06,0.177,0.005,100.21495,9.47903
824,K4,4251.419007991108,4581.419007991108,43.0,*,c,17.29,14.15,0.394,0.217,0.11,0.06,0.77,0.02,100.25768,9.64477
877,K4,6601.419007991108,4581.419007991108,3.1,*,c,17.2,14.49,0.521,0.156,0.14,0.04,0.367,0.01,100.31994,9.45839
945,K4,6001.419007991108,4581.419007991108,7.8,*,c,16.93,14.9,0.645,0.227,0.14,0.07,0.652,0.014,100.20788,9.61375
954,K4,3501.4190079911077,4581.419007991108,13.6,*,w,18.75,14.94,0.213,0.159,0.07,0.06,1.8,0.19,100.28063,9.43195
1031,K4,5601.419007991108,4581.419007991108,4.9,*,c,17.75,14.31,0.238,0.09,0.07,0.03,0.48,0.02,100.16687,9.58416
1140,K4,3271.4190079911077,4581.419007991108,37.0,*,c,19.21,14.64,0.806,0.605,0.3,0.22,1.42,0.03,99.92278,9.77213
1275,K4,4301.419007991108,4581.419007991108,25.0,*,c,18.26,14.32,0.181,0.106,0.05,0.03,1.27,0.12,100.11983,9.51653
21771,K4,3501.4190079911077,4581.419007991108,18.0,*,c,19.67,17.05,0.244,0.175,0.07,0.05,0.42,0.03,100.51792,9.57561
250,K3,4200.291646018162,4775.291646018162,54.0,*,c,18.16,14.91,0.887,0.504,0.21,0.16,1.35,0.03,100.25209,9.75087
406,K3,6400.291646018162,4775.291646018162,13.0,*,c,17.19,15.16,0.954,0.376,0.23,0.09,0.634,0.01,100.24867,9.47883
491,K3,3160.2916460181623,4775.291646018162,49.5,*,c,20.1,15.76,1.34,0.978,0.38,0.27,2.15,0.08,100.23402,9.6086
498,K3,6400.291646018162,4775.291646018162,10.7,*,c,16.81,13.74,0.814,0.312,0.2,0.06,0.76,0.012,100.19792,9.82472
567,K3,5700.291646018162,4775.291646018162,26.0,*,c,19.62,16.15,0.932,0.343,0.24,0.1,0.535,0.017,100.23499,9.59815
667,K3,5900.291646018162,4775.291646018162,24.0,*,c,17.66,13.6,0.945,0.426,0.21,0.13,1.094,0.018,100.36991,9.64415
296,K2,6604.501146470968,4954.501146470968,37.0,*,c,18.0,14.51,1.826,0.892,0.48,0.25,0.921,0.007,100.2108,9.91593
297,K2,3874.501146470968,4954.501146470968,56.0,*,c,17.82,14.4,1.437,0.876,0.31,0.19,1.428,0.016,100.18817,9.47903
330,K2,3904.501146470968,4954.501146470968,12.0,*,w,17.81,14.41,0.175,0.122,0.06,0.04,1.55,0.12,100.3817,9.80912
379,K2,7204.501146470968,4954.501146470968,18.8,*,c,16.81,13.99,1.563,0.777,0.56,0.27,0.934,0.007,100.27068,9.84612
948,K2,3903.501146470968,4954.501146470968,9.1,*,w,16.98,13.92,0.13,0.092,0.03,0.02,2.1,0.2,100.36314,9.58505
577,K1,7105.049349558889,5105.049349558889,2.0,*,c,16.55,13.71,0.231,0.074,0.07,0.02,0.43,0.02,100.43259,9.68056
765,K1,5505.049349558889,5105.049349558889,12.0,*,c,17.2,14.2,0.087,0.042,0.03,0.013,0.76,0.1,100.22349,9.55688
894,K1,2405.049349558889,5105.049349558889,4.7,*,w,18.45,13.6,0.072,0.061,0.02,0.016,1.9,0.5,100.31425,9.77769
1037,K1,3805.049349558889,5105.049349558889,60.0,*,c,18.71,14.9,1.795,1.041,0.54,0.34,1.149,0.011,100.12857,9.57794
1307,K0,5096.005584627322,5236.005584627322,9.0,*,w,16.78,14.09,0.058,0.033,0.014,0.008,0.77,0.17,99.84561,9.60468
241,G8,5100.0272936608935,5445.0272936608935,36.0,*,w,14.6,12.41,0.265,0.145,0.08,0.05,1.14,0.04,100.34599,9.45742
848,G8,4700.0272936608935,5445.0272936608935,6.0,*,w,15.45,13.15,0.041,0.025,0.014,0.007,0.9,0.2,100.35305,9.43983
1024,G8,3100.0272936608935,5445.0272936608935,3.0,*,w,16.97,13.18,0.027,0.022,0.008,0.007,2.3,1.1,100.09639,9.93881
87,G5,4002.3931639336333,5662.393163933633,2.0,*,w,16.08,13.89,0.016,0.012,0.005,0.003,1.2,0.8,100.27745,9.59587
169,G5,5502.393163933633,5662.393163933633,21.0,*,w,15.27,12.95,0.11,0.059,0.03,0.018,1.26,0.13,100.45027,9.71203
177,G5,5402.393163933633,5662.393163933633,24.0,*,c,15.51,13.08,0.135,0.074,0.05,0.03,1.1,0.09,100.27583,9.60638
560,G5,5402.393163933633,5662.393163933633,8.0,*,w,14.65,12.87,0.053,0.029,0.011,0.008,0.91,0.17,100.31549,9.63842
819,G5,4602.393163933633,5662.393163933633,7.0,*,w,15.01,12.77,0.057,0.038,0.016,0.01,1.05,0.19,100.3716,9.65998
1248,G5,5002.393163933633,5662.393163933633,33.0,*,w,16.22,13.63,0.344,0.197,0.09,0.05,1.09,0.04,99.94468,9.6817
629,G2,4997.663544706073,5767.663544706073,3.0,*,w,16.27,13.58,0.028,0.018,0.007,0.005,1.1,0.5,100.27495,9.59758
1099,G1,4884.4514783443055,5834.4514783443055,11.0,*,c,15.79,13.38,0.099,0.064,0.03,0.02,0.89,0.07,100.17233,9.90383
1256,G0,7102.009557527709,5902.009557527709,5.0,*,w,15.1,12.98,0.043,0.018,0.009,0.005,0.58,0.13,99.92322,9.57792
728,F2,6198.845711702543,6698.845711702543,10.0,*,w,15.46,13.2,0.055,0.033,0.017,0.01,1.2,0.2,100.2824,9.73416
35,F0,6000.721315295297,7030.721315295297,3.0,*,w,15.65,13.08,0.024,0.016,0.006,0.004,0.62,0.16,100.44895,9.86731
